"Yr","Quarter","Obs","CV","qtr"
1991,1,9.55661829892721,0.418704609019392,177
1991,2,1.93385409786284,0.252745998406028,178
1991,3,4.00214357012435,0.256412884399972,179
1991,4,3.79099932316274,0.20513409837919,180
1992,1,5.52161206051121,0.328934830184336,181
1992,2,2.25682888192364,0.29778961697643,182
1992,3,3.37727940615878,0.258060787249912,183
1992,4,2.86072588798917,0.218385300466404,184
1993,1,4.2932023538863,0.282838865056478,185
1993,2,1.3818296095896,0.282453621063968,186
1993,3,2.77055826173497,0.253824055924701,187
1993,4,2.88621882120152,0.227601397997969,188
1994,1,4.9320328133177,0.304728651744478,189
1994,2,2.13326216654213,0.313105326237654,190
1994,3,2.85954174849167,0.255425007742414,191
1994,4,4.20496528730732,0.212079479617245,192
1995,1,9.12810848281181,0.239013823823187,193
1995,2,4.48531680899889,0.243202472334827,194
1995,3,4.34682407164293,0.216368891754709,195
1995,4,3.36174108464272,0.20188057883,196
1996,1,3.78645727695788,0.253578927638429,197
1996,2,3.50045993080828,0.247017653769398,198
1996,3,6.57564920621959,0.213821713974486,199
1996,4,5.28565541544366,0.186118402322373,200
1997,1,9.56202290742938,0.232471895845027,201
1997,2,4.51719560892107,0.254789047222636,202
1997,3,8.58446898967659,0.210008306529998,203
1997,4,4.67203779947366,0.172028895641837,204
1998,1,6.39541904199451,0.30510455575804,205
1998,2,2.72778173393644,0.292131610444003,206
1998,3,5.45580127532103,0.262492676348918,207
1998,4,2.44052847333247,0.256194971286084,208
1999,1,7.00583735491276,0.233395915522998,209
1999,2,3.03179770729909,0.215429422849393,210
1999,3,5.00917566327891,0.204699011529932,211
1999,4,6.81762659710997,0.175006756600631,212
2000,1,4.29998005180891,0.210042411431797,213
2000,2,2.34319593639461,0.208865006850613,214
2000,3,6.54132248048641,0.202097185242897,215
2000,4,3.97606805653018,0.189225879698671,216
2001,1,4.91896251890945,0.215868086142169,217
2001,2,3.97271963649975,0.252004201718449,218
2001,3,5.20522243891086,0.238343802811304,219
2001,4,3.40912913445306,0.210841399709651,220
2002,1,5.77798571412626,0.212266531617537,221
2002,2,3.43863271910468,0.221259764473231,222
2002,3,6.15910103857931,0.185189807355773,223
2002,4,4.1385134829203,0.152383484097676,224
2003,1,3.59741185208826,0.191015528520887,225
2003,2,1.22726598749671,0.247813299894685,226
2003,3,4.59353326450847,0.210318272213445,227
2003,4,2.92686142050548,0.187715536571654,228
2004,1,4.54061250881574,0.219513924205444,229
2004,2,2.2215667846729,0.215089398257382,230
2004,3,5.56133633361242,0.193547973911052,231
2004,4,3.09270533129912,0.171854929809198,232
2005,1,3.25802921750231,0.189658909167043,233
2005,2,1.34233376864982,0.178733038944338,234
2005,3,2.67844023910554,0.172102437639282,235
2005,4,2.87976096661574,0.188025907496861,236
2006,1,4.35199499707545,0.169883901550727,237
2006,2,1.75198007975201,0.178113596492747,238
2006,3,2.74154573361341,0.151348292162864,239
2006,4,1.53609187684199,0.150559244566782,240
2007,1,2.12120168338472,0.173139988079268,241
2007,2,1.28988405898116,0.193378209011108,242
2007,3,3.79117944718738,0.163262166994406,243
2007,4,3.24890673156852,0.161710953794585,244
2008,1,5.77622345326239,0.231691029122192,245
2008,2,2.39527376532898,0.209299969411401,246
2008,3,2.83435732803726,0.156877337752582,247
2008,4,2.86283584221835,0.159787513537132,248
2009,1,6.70021047929612,0.188579473230215,249
2009,2,2.42686776923595,0.210054352389197,250
2009,3,3.748601841353,0.171993485288881,251
2009,4,2.18343365617024,0.160406324941205,252
2010,1,4.46488199661982,0.168690856986088,253
2010,2,2.21228321824913,0.209604081216196,254
2010,3,2.28233862076436,0.158434523173008,255
2010,4,2.05538779096748,0.162155749718912,256
2011,1,6.04200011500964,0.164713044075934,257
2011,2,1.61905996367611,0.195629453806587,258
2011,3,1.48356902392299,0.17475969101905,259
2011,4,1.41912597717453,0.148888778518344,260
2012,1,2.16447181177932,0.179733690858811,261
2012,2,1.77198983006193,0.189929744611574,262
2012,3,1.72360204831827,0.17033390288286,263
2012,4,2.02358535206072,0.170755828948986,264
2013,1,4.17992591303929,0.157164354047261,265
2013,2,2.67460992793185,0.190054804611103,266
2013,3,3.49247675305379,0.16528097139662,267
2013,4,3.36370487270547,0.142648612961144,268
2014,1,3.16460422032621,0.177272070438199,269
2014,2,1.90460442417802,0.192323285642379,270
2014,3,2.51520133505851,0.180492605797092,271
2014,4,1.80983123224924,0.16277565520841,272
2015,1,3.79822143073079,0.176076518336205,273
2015,2,1.63404767047408,0.196615391030032,274
2015,3,1.88043085166564,0.190891044411518,275
2015,4,1.57773870671994,0.146954085344295,276
2016,1,2.89353953525244,0.155042503844846,277
2016,2,1.80131707870584,0.169037471008877,278
2016,3,2.04484095834513,0.151921188164567,279
2016,4,2.15898634501801,0.131033189348541,280
2017,1,2.75013570198084,0.156274279698661,281
2017,2,1.47054975290476,0.182072513153104,282
2017,3,1.7621813828254,0.175333265892241,283
2017,4,2.36094851235614,0.168869771223096,284
2018,1,3.03788558106228,0.13111775797485,285
2018,2,1.8413258806963,0.150824305881655,286
2018,3,1.54570366161106,0.134194290708646,287
2018,4,1.85662096620689,0.142242026761536,288
2019,1,2.35618300800126,0.13439765889771,289
2019,2,1.74383985623713,0.183236614418152,290
2019,3,1.9801290277448,0.16908191397862,291
2019,4,1.35038493364035,0.15764010289052,292
2020,1,1.04459488581122,0.160958680954673,293
2020,2,0.999032140260793,0.181868277281937,294
2020,3,2.05905460256862,0.173113276992286,295
2020,4,1.55326623588447,0.172079916118513,296
2021,1,4.77537598671139,0.208541763227536,297
2021,2,2.72382086682123,0.229578674789698,298
2021,3,1.98424777463615,0.232992124031125,299
2021,4,1.98386292002565,0.220655022223726,300
2022,1,3.06944109433659,0.173100039389917,301
2022,2,2.97298258735153,0.196276192586689,302
2022,3,3.22241985203518,0.202730652192807,303
2022,4,4.39621859258034,0.210488089371243,304
2023,1,3.15945020772546,0.161246576396256,305
2023,2,2.20125454827003,0.200431360297072,306
2023,3,1.11931426005802,0.188934148240736,307
2023,4,1.57893653962794,0.145664990419747,308
